Location,Slot,Method,Time,Pokemon,MinLevel,MaxLevel
Pallet Town,1,Old Rod,All,Tentacool,2,4
Pallet Town,2,Old Rod,All,Binacle,2,4
Viridian City,1,Old Rod,All,Marill,3,4
Viridian City,2,Old Rod,All,Clamperl,3,4
Route 22,1,Old Rod,All,Psyduck,2,4
Route 22,2,Old Rod,All,Corphish,2,4
Route 21A,1,Old Rod,All,Magikarp,2,4
Route 21A,2,Old Rod,All,Shellder,2,4
Cerulean City,1,Old Rod,All,Chewtle,2,4
Cerulean City,2,Old Rod,All,Clauncher,2,4
Route 24,1,Old Rod,All,Carvanha,2,4
Route 24,2,Old Rod,All,Lotad,2,4
Route 25,1,Old Rod,All,Magikarp,2,4
Route 25,2,Old Rod,All,Chinchou,2,4
Route 6,1,Old Rod,All,Chinchou,2,4
Route 6,2,Old Rod,All,Shellder,2,4
Vermillion City,1,Old Rod,All,Arrokuda,2,4
Vermillion City,2,Old Rod,All,Finneon,2,4
Route 11,1,Old Rod,All,Krabby,2,4
Route 11,2,Old Rod,All,Horsea,2,4
S.S. Anne,1,Old Rod,All,Wimpod,2,4
S.S. Anne,2,Old Rod,All,Finneon,2,4
Route 10,1,Old Rod,All,Wooper,2,4
Route 10,2,Old Rod,All,Tynamo,2,4
Route 12,1,Old Rod,All,Spheal,2,4
Route 12,2,Old Rod,All,Seel,2,4
Celadon City,1,Old Rod,All,Magikarp,2,4
Celadon City,2,Old Rod,All,Arrokuda,2,4
Route 13,1,Old Rod,All,Skrelp,2,4
Route 13,2,Old Rod,All,Tatsugiri,2,4
Fuchsia City,1,Old Rod,All,Magikarp,2,4
Fuchsia City,2,Old Rod,All,Magikarp,2,4
Route 19,1,Old Rod,All,Clamperl,2,4
Route 19,2,Old Rod,All,Horsea,2,4
Route 20,1,Old Rod,All,Magikarp,2,4
Route 20,2,Old Rod,All,Chinchou,2,4
Route 21B,1,Old Rod,All,Magikarp,2,4
Route 21B,2,Old Rod,All,Shellder,2,4
Seafoam B2F,1,Old Rod,All,Magikarp,2,4
Seafoam B2F,2,Old Rod,All,Goldeen,2,4
Seafoam B3F-B4F,1,Old Rod,All,Magikarp,2,4
Seafoam B3F-B4F,2,Old Rod,All,Remoraid,2,4
Cinnabar Island,1,Old Rod,All,Magikarp,2,4
Cinnabar Island,2,Old Rod,All,Corsola,2,4
Cerulean Cave 1F,1,Old Rod,All,Magikarp,2,4
Cerulean Cave 1F,2,Old Rod,All,Staryu,2,4
Cerulean Cave B1F,1,Old Rod,All,Feebas,2,4
Cerulean Cave B1F,2,Old Rod,All,Mareanie,2,4
Route 23,1,Old Rod,All,Magikarp,2,4
Route 23,2,Old Rod,All,Magikarp,2,4
Pallet Town,1,Good Rod,All,Barboach,27,29
Pallet Town,2,Good Rod,All,Carvanha,27,29
Pallet Town,3,Good Rod,All,Qwilfish,27,29
Viridian City,1,Good Rod,All,Clauncher,27,29
Viridian City,2,Good Rod,All,Remoraid,27,29
Viridian City,3,Good Rod,All,Corsola,27,29
Route 22,1,Good Rod,All,Clobbopus,27,29
Route 22,2,Good Rod,All,Mantyke,27,29
Route 22,3,Good Rod,All,Mareanie,27,29
Route 21A,1,Good Rod,All,Krabby,27,29
Route 21A,2,Good Rod,All,Qwilfish,27,29
Route 21A,3,Good Rod,All,Corsola-Galar,27,29
Cerulean City,1,Good Rod,All,Wishiwashi,27,29
Cerulean City,2,Good Rod,All,Tatsugiri,27,29
Cerulean City,3,Good Rod,All,Remoraid,27,29
Route 24,1,Good Rod,All,Wailmer,27,29
Route 24,2,Good Rod,All,Wishiwashi,27,29
Route 24,3,Good Rod,All,Clobbopus,27,29
Route 25,1,Good Rod,All,Dewpider,27,29
Route 25,2,Good Rod,All,Mantyke,27,29
Route 25,3,Good Rod,All,Goldeen,27,29
Route 6,1,Good Rod,All,Slowpoke-Galar,27,29
Route 6,2,Good Rod,All,Skrelp,27,29
Route 6,3,Good Rod,All,Basculin,27,29
Vermillion City,1,Good Rod,All,Frillish,27,29
Vermillion City,2,Good Rod,All,Staryu,27,29
Vermillion City,3,Good Rod,All,Wimpod,27,29
Route 11,1,Good Rod,All,Bruxish,27,29
Route 11,2,Good Rod,All,Frillish,27,29
Route 11,3,Good Rod,All,Relicanth,27,29
S.S. Anne,1,Good Rod,All,Veluza,27,29
S.S. Anne,2,Good Rod,All,Staryu,27,29
S.S. Anne,3,Good Rod,All,Krabby,27,29
Route 10,1,Good Rod,All,Barboach,27,29
Route 10,2,Good Rod,All,Shellos-East,27,29
Route 10,3,Good Rod,All,Corsola-Galar,27,29
Route 12,1,Good Rod,All,Shellder,27,29
Route 12,2,Good Rod,All,Sealeo,27,29
Route 12,3,Good Rod,All,Veluza,27,29
Celadon City,1,Good Rod,All,Poliwag,27,29
Celadon City,2,Good Rod,All,Slowpoke-Galar,27,29
Celadon City,3,Good Rod,All,Slowpoke,27,29
Route 13,1,Good Rod,All,Qwilfish-Hisui,27,29
Route 13,2,Good Rod,All,Dewpider,27,29
Route 13,3,Good Rod,All,Skrelp,27,29
Fuchsia City,1,Good Rod,All,Goldeen,27,29
Fuchsia City,2,Good Rod,All,Goldeen,27,29
Fuchsia City,3,Good Rod,All,Poliwag,27,29
Route 19,1,Good Rod,All,Shellder,27,29
Route 19,2,Good Rod,All,Slowpoke,27,29
Route 19,3,Good Rod,All,Slowpoke,27,29
Route 20,1,Good Rod,All,Wailmer,27,29
Route 20,2,Good Rod,All,Clauncher,27,29
Route 20,3,Good Rod,All,Corsola-Galar,27,29
Route 21B,1,Good Rod,All,Krabby,27,29
Route 21B,2,Good Rod,All,Qwilfish,27,29
Route 21B,3,Good Rod,All,Corsola,27,29
Seafoam B2F,1,Good Rod,All,Spheal,27,29
Seafoam B2F,2,Good Rod,All,Mareanie,27,29
Seafoam B2F,3,Good Rod,All,Krabby,27,29
Seafoam B3F-B4F,1,Good Rod,All,Spheal,27,29
Seafoam B3F-B4F,2,Good Rod,All,Shellder,27,29
Seafoam B3F-B4F,3,Good Rod,All,Carvanha,27,29
Cinnabar Island,1,Good Rod,All,Krabby,27,29
Cinnabar Island,2,Good Rod,All,Qwilfish,27,29
Cinnabar Island,3,Good Rod,All,Feebas,27,29
Cerulean Cave 1F,1,Good Rod,All,Carvanha,27,29
Cerulean Cave 1F,2,Good Rod,All,Pyukumuku,27,29
Cerulean Cave 1F,3,Good Rod,All,Krabby,27,29
Cerulean Cave B1F,1,Good Rod,All,Corphish,27,29
Cerulean Cave B1F,2,Good Rod,All,Krabby,27,29
Cerulean Cave B1F,3,Good Rod,All,Mareanie,27,29
Route 23,1,Good Rod,All,Poliwag,27,29
Route 23,2,Good Rod,All,Goldeen,27,29
Route 23,3,Good Rod,All,Magikarp,27,29
Pallet Town,1,Super Rod,All,Luvdisc,53,55
Pallet Town,2,Super Rod,All,Luvdisc,53,55
Pallet Town,3,Super Rod,All,Clamperl,53,55
Pallet Town,4,Super Rod,All,Whiscash,53,55
Pallet Town,5,Super Rod,All,Whiscash,53,55
Viridian City,1,Super Rod,All,Luvdisc,53,55
Viridian City,2,Super Rod,All,Luvdisc,53,55
Viridian City,3,Super Rod,All,Bruxish,53,55
Viridian City,4,Super Rod,All,Clawitzer,53,55
Viridian City,5,Super Rod,All,Clawitzer,53,55
Route 22,1,Super Rod,All,Luvdisc,53,55
Route 22,2,Super Rod,All,Luvdisc,53,55
Route 22,3,Super Rod,All,Basculin-Blue,53,55
Route 22,4,Super Rod,All,Wailord,53,55
Route 22,5,Super Rod,All,Wailord,53,55
Route 21A,1,Super Rod,All,Octillery,53,55
Route 21A,2,Super Rod,All,Lumineon,53,55
Route 21A,3,Super Rod,All,Kingler,53,55
Route 21A,4,Super Rod,All,Relicanth,53,55
Route 21A,5,Super Rod,All,Relicanth,53,55
Cerulean City,1,Super Rod,All,Luvdisc,53,55
Cerulean City,2,Super Rod,All,Luvdisc,53,55
Cerulean City,3,Super Rod,All,Sharpedo,53,55
Cerulean City,4,Super Rod,All,Octillery,53,55
Cerulean City,5,Super Rod,All,Octillery,53,55
Route 24,1,Super Rod,All,Luvdisc,53,55
Route 24,2,Super Rod,All,Luvdisc,53,55
Route 24,3,Super Rod,All,Sharpedo,53,55
Route 24,4,Super Rod,All,Octillery,53,55
Route 24,5,Super Rod,All,Octillery,53,55
Route 25,1,Super Rod,All,Poliwag,53,55
Route 25,2,Super Rod,All,Poliwhirl,53,55
Route 25,3,Super Rod,All,Gyarados,53,55
Route 25,4,Super Rod,All,Psyduck,53,55
Route 25,5,Super Rod,All,Psyduck,53,55
Route 6,1,Super Rod,All,Slowbro-Galar,53,55
Route 6,2,Super Rod,All,Lanturn,53,55
Route 6,3,Super Rod,All,Gyarados,53,55
Route 6,4,Super Rod,All,Psyduck,53,55
Route 6,5,Super Rod,All,Golduck,53,55
